link_text,href,link_type,section_title
Going up,#going-up,internal_anchor,Unknown
.parent,#parent,internal_anchor,Unknown
.parents,#parents,internal_anchor,Unknown
.self_and_parents,#self-and-parents,internal_anchor,Unknown
Going sideways,#going-sideways,internal_anchor,Unknown
.next_sibling and .previous_sibling,#next-sibling-and-previous-sibling,internal_anchor,Unknown
.next_siblings and .previous_siblings,#next-siblings-and-previous-siblings,internal_anchor,Unknown
Going back and forth,#going-back-and-forth,internal_anchor,Unknown
.next_element and .previous_element,#next-element-and-previous-element,internal_anchor,Unknown
.next_elements and .previous_elements,#next-elements-and-previous-elements,internal_anchor,Unknown
Searching the tree,#searching-the-tree,internal_anchor,Unknown
Kinds of filters,#kinds-of-filters,internal_anchor,Unknown
A string,#a-string,internal_anchor,Unknown
A regular expression,#a-regular-expression,internal_anchor,Unknown
True,#true,internal_anchor,Unknown
A function,#a-function,internal_anchor,Unknown
A list,#a-list,internal_anchor,Unknown
find_all(),#find-all,internal_anchor,Unknown
The name argument,#the-name-argument,internal_anchor,Unknown
The keyword arguments,#the-keyword-arguments,internal_anchor,Unknown
Searching by CSS class,#searching-by-css-class,internal_anchor,Unknown
The string argument,#the-string-argument,internal_anchor,Unknown
The limit argument,#the-limit-argument,internal_anchor,Unknown
The recursive argument,#the-recursive-argument,internal_anchor,Unknown
Calling a tag is like calling find_all(),#calling-a-tag-is-like-calling-find-all,internal_anchor,Unknown
find(),#find,internal_anchor,Unknown
find_parents() and find_parent(),#find-parents-and-find-parent,internal_anchor,Unknown
find_next_siblings() and find_next_sibling(),#find-next-siblings-and-find-next-sibling,internal_anchor,Unknown
find_previous_siblings() and find_previous_sibling(),#find-previous-siblings-and-find-previous-sibling,internal_anchor,Unknown
find_all_next() and find_next(),#find-all-next-and-find-next,internal_anchor,Unknown
find_all_previous() and find_previous(),#find-all-previous-and-find-previous,internal_anchor,Unknown
CSS selectors through the .css property,#css-selectors-through-the-css-property,internal_anchor,Unknown
Advanced Soup Sieve features,#advanced-soup-sieve-features,internal_anchor,Unknown
Namespaces in CSS selectors,#namespaces-in-css-selectors,internal_anchor,Unknown
History of CSS selector support,#history-of-css-selector-support,internal_anchor,Unknown
Modifying the tree,#modifying-the-tree,internal_anchor,Unknown
Changing tag names and attributes,#changing-tag-names-and-attributes,internal_anchor,Unknown
Modifying .string,#modifying-string,internal_anchor,Unknown
append(),#append,internal_anchor,Unknown
extend(),#extend,internal_anchor,Unknown
NavigableString() and .new_tag(),#navigablestring-and-new-tag,internal_anchor,Unknown
insert(),#insert,internal_anchor,Unknown
insert_before() and insert_after(),#insert-before-and-insert-after,internal_anchor,Unknown
clear(),#clear,internal_anchor,Unknown
extract(),#extract,internal_anchor,Unknown
decompose(),#decompose,internal_anchor,Unknown
replace_with(),#replace-with,internal_anchor,Unknown
wrap(),#wrap,internal_anchor,Unknown
unwrap(),#unwrap,internal_anchor,Unknown
smooth(),#smooth,internal_anchor,Unknown
Output,#output,internal_anchor,Unknown
Pretty-printing,#pretty-printing,internal_anchor,Unknown
Non-pretty printing,#non-pretty-printing,internal_anchor,Unknown
Output formatters,#output-formatters,internal_anchor,Unknown
Formatter objects,#formatter-objects,internal_anchor,Unknown
HTMLFormatter,#HTMLFormatter,internal_anchor,Unknown
XMLFormatter,#XMLFormatter,internal_anchor,Unknown
Writing your own formatter,#writing-your-own-formatter,internal_anchor,Unknown
get_text(),#get-text,internal_anchor,Unknown
Specifying the parser to use,#specifying-the-parser-to-use,internal_anchor,Unknown
Differences between parsers,#differences-between-parsers,internal_anchor,Unknown
Encodings,#encodings,internal_anchor,Unknown
Output encoding,#output-encoding,internal_anchor,Unknown
"Unicode, Dammit",#unicode-dammit,internal_anchor,Unknown
Smart quotes,#smart-quotes,internal_anchor,Unknown
Inconsistent encodings,#inconsistent-encodings,internal_anchor,Unknown
Line numbers,#line-numbers,internal_anchor,Unknown
Comparing objects for equality,#comparing-objects-for-equality,internal_anchor,Unknown
Copying Beautiful Soup objects,#copying-beautiful-soup-objects,internal_anchor,Unknown
Low-level search interface,#low-level-search-interface,internal_anchor,Unknown
